PLAYER,TEAM,POSITION,Bats,PA,AVG,OBP,SLG,OPS,1B,1B%,2B,2B%,3B,3B%,HR,HR%,R,RBI,SB,CS,SB%,BB,BB%,K,K%,HBP,OUT%,,
Danny Jansen,Toronto Blue Jays,C,R,384,0.207,0.279,0.360,0.640,72,0.188,12,0.031,1,0.003,13,0.034,41,43,0,1,0.000,31,0.081,79,0.206,4,0.458,,
Justin Smoak,Toronto Blue Jays,1B,S,500,0.208,0.342,0.406,0.748,86,0.172,16,0.032,0,0.000,22,0.044,54,61,0,0,NA,79,0.158,106,0.212,6,0.382,,
Cavan Biggio,Toronto Blue Jays,2B,L,430,0.234,0.364,0.429,0.793,83,0.193,17,0.040,2,0.005,16,0.037,66,48,14,0,1.000,71,0.165,123,0.286,2,0.274,,
Vladimir Guerrero Jr.,Toronto Blue Jays,3B,R,514,0.272,0.339,0.433,0.772,126,0.245,26,0.051,2,0.004,15,0.029,52,69,0,1,0.000,46,0.089,91,0.177,2,0.405,,
Freddy Galvis,Toronto Blue Jays,SS,S,589,0.260,0.296,0.438,0.734,145,0.246,28,0.048,1,0.002,23,0.039,67,70,4,2,0.667,28,0.048,145,0.246,1,0.372,,
Lourdes Gurriel Jr.,Toronto Blue Jays,LF,R,343,0.277,0.327,0.541,0.869,87,0.254,19,0.055,2,0.006,20,0.058,52,50,6,4,0.600,20,0.058,86,0.251,5,0.318,,
Teoscar Hernandez,Toronto Blue Jays,CF,R,464,0.230,0.306,0.472,0.778,96,0.207,19,0.041,2,0.004,26,0.056,58,65,6,3,0.667,45,0.097,153,0.330,1,0.265,,
Randal Grichuk,Toronto Blue Jays,RF,R,628,0.232,0.280,0.457,0.738,136,0.217,29,0.046,5,0.008,31,0.049,75,80,2,1,0.667,35,0.056,163,0.260,5,0.365,,
Rowdy Tellez,Toronto Blue Jays,DH,L,409,0.227,0.293,0.449,0.742,84,0.205,19,0.046,0,0,21,0.051,49,54,1,1,0.500,29,0.071,116,0.284,7,0.342,,
Yan Gomes,Washington Nationals,C,R,358,0.223,0.316,0.389,0.704,70,0.196,16,0.045,0,0,12,0.034,36,43,2,0,1.000,38,0.106,84,0.235,5,0.385,,
Matt Adams,Washington Nationals,1B,L,333,0.226,0.276,0.465,0.741,70,0.210,14,0.042,0,0,20,0.060,42,56,0,0,NA,20,0.060,115,0.345,2,0.282,,
Brian Dozier,Washington Nationals,2B,R,482,0.238,0.340,0.430,0.771,99,0.205,20,0.041,0,0,20,0.041,54,50,3,4,0.429,61,0.127,105,0.218,4,0.367,,
Anthony Rendon,Washington Nationals,3B,R,646,0.319,0.412,0.598,1.010,174,0.269,44,0.068,3,0.005,34,0.053,117,126,5,1,0.833,80,0.124,86,0.133,12,0.348,,
Trea Turner,Washington Nationals,SS,R,569,0.298,0.353,0.497,0.850,155,0.272,37,0.065,5,0.009,19,0.033,96,57,35,5,0.875,43,0.076,113,0.199,3,0.346,,
Juan Soto,Washington Nationals,LF,L,659,0.282,0.401,0.548,0.949,153,0.232,32,0.049,5,0.008,34,0.052,110,110,12,1,0.923,108,0.164,132,0.200,3,0.296,,
Victor Robles,Washington Nationals,CF,R,617,0.255,0.326,0.419,0.745,139,0.225,33,0.053,3,0.005,17,0.028,86,65,28,9,0.757,35,0.057,140,0.227,25,0.405,,
Adam Eaton,Washington Nationals,RF,L,656,0.279,0.365,0.428,0.792,158,0.241,25,0.038,7,0.011,15,0.023,103,49,15,3,0.833,65,0.099,106,0.162,13,0.427,,
Howie Kendrick,Washington Nationals,DH,R,370,0.344,0.395,0.572,0.966,115,0.311,23,0.062,1,0.003,17,0.046,61,62,2,1,0.667,27,0.073,49,0.132,4,0.373,,
